type	name	value	zone	address	bytes	access	other
Internal	R0	0x0			4	readWrite	strong	
Internal	R1	0x8001168			4	readWrite	strong	
Internal	R2	0x800115c			4	readWrite	strong	
Internal	R3	0x80012e1			4	readWrite	strong	
Internal	R4	0x0			4	readWrite	strong	
Internal	R5	0x0			4	readWrite	strong	
Internal	R6	0x0			4	readWrite	strong	
Internal	R7	0x0			4	readWrite	strong	
Internal	R8	0x0			4	readWrite	strong	
Internal	R9	0x0			4	readWrite	strong	
Internal	R10	0x0			4	readWrite	strong	
Internal	R11	0x0			4	readWrite	strong	
Internal	R12	0x0			4	readWrite	strong	
Internal	R13	0x200005a8			4	readWrite	strong	
Internal	R14	0x800117f			4	readWrite	strong	
Internal	PC	0x80001d0			4	readWrite	strong	
Internal	APSR	0x60000000			4	readWrite	strong	
Internal	IAPSR	0x60000000			4	readWrite	strong	
Internal	EAPSR	0x61000000			4	readWrite	strong	
Internal	xPSR	0x61000000			4	readWrite	strong	
Internal	IPSR	0x0			4	readWrite	strong	
Internal	EPSR	0x1000000			4	readWrite	strong	
Internal	IEPSR	0x1000000			4	readWrite	strong	
Internal	R13_main	0x200005a8			4	readWrite	strong	
Internal	R13_proc	0x0			4	readWrite	strong	
Internal	PRIMASK	0x0			4	readWrite	strong	
Internal	BASEPRI	0x0			4	readWrite	strong	
Internal	BASEPRI_MAX	0x0			4	readWrite	strong	
Internal	FAULTMASK	0x0			4	readWrite	strong	
Internal	CONTROL	0x4			4	readWrite	strong	
Internal	CFBP	0x4000000			4	readWrite	strong	
Internal	SP	0x200005a8			4	readWrite	strong	
Internal	LR	0x800117f			4	readWrite	strong	
Internal	R15	0x80001d0			4	readWrite	strong	
Internal	SP_process	0x0			4	readWrite	strong	
Internal	R13_process	0x0			4	readWrite	strong	
Internal	PSP	0x0			4	readWrite	strong	
Internal	SP_main	0x200005a8			4	readWrite	strong	
Internal	MSP	0x200005a8			4	readWrite	strong	
Internal	CYCLECOUNTER	0x0			8	readOnly	strong	
Internal	CCTIMER1	0x0			8	readWrite	strong	
Internal	CCTIMER2	0x0			8	readWrite	strong	
Internal	CCSTEP	0x0			8	readOnly	strong	
Factory	GPIOA_MODER	0xa8000000	Memory	0x48000000	4	readWrite	strong	
Factory	GPIOA_OTYPER	0xa8000000	Memory	0x48000004	4	readWrite	strong	
Factory	GPIOA_OSPEEDR	0xa8000000	Memory	0x48000008	4	readWrite	strong	
Factory	GPIOA_PUPDR	0xa8000000	Memory	0x4800000c	4	readWrite	strong	
Factory	GPIOA_IDR	0xa8000000	Memory	0x48000010	4	readOnly	strong	
